domain	predictor	n	rho_impact	ci_lo	ci_hi	p
RING/BRCT (Findlay 2018)	REVEL	373	-0.3844	-0.468	-0.294	1.4006286898393469e-14
RING/BRCT (Findlay 2018)	SIFT (1−SIFT)	373	-0.3695	-0.454	-0.278	1.6321871744613962e-13
RING/BRCT (Findlay 2018)	PolyPhen-2	373	-0.1876	-0.284	-0.088	0.0002680948828426575
RING/BRCT (Findlay 2018)	SIFT raw (higher = tolerated)	373	0.3695	0.278	0.454	1.6321871744613962e-13
central exons (Dace 2025)	REVEL	352	-0.0494	-0.153	0.055	0.3553113157774272
central exons (Dace 2025)	SIFT (1−SIFT)	352	-0.2601	-0.355	-0.16	7.534606167198454e-07
central exons (Dace 2025)	PolyPhen-2	352	0.0474	-0.057	0.151	0.37504308861112823
central exons (Dace 2025)	SIFT raw (higher = tolerated)	352	0.2601	0.16	0.355	7.534606167198454e-07
